pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[1-1_vs_1-2]	3101.350852	0	1.0	0.0	24	3101.350852	unrelated	unrelated		UN	UN
[1-1_vs_10-1]	510.321138	0	1.0	0.0	44	510.321138	unrelated	unrelated	C-2(U-N)	3	3
[1-1_vs_10-2]	494.245452	0	1.0	0.0	44	494.245452	unrelated	unrelated		UN	UN
[1-1_vs_11-2]	611.829147	0	1.0	0.0	55	611.829147	unrelated	unrelated		UN	UN
[1-1_vs_12-1]	119.240062	0	1.0	0.0	14	119.240062	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_12-2]	107.125602	0	1.0	0.0	12	107.125602	unrelated	unrelated		UN	UN
[1-1_vs_13-1]	152.02293600000002	0	1.0	0.0	17	152.02293600000002	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_13-2]	131.755756	0	1.0	0.0	15	131.755756	unrelated	unrelated		UN	UN
[1-1_vs_14-1]	188.080929	0	1.0	0.0	17	188.080929	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_14-2]	183.687128	0	1.0	0.0	18	183.687128	unrelated	unrelated		UN	UN
[1-1_vs_15-1]	949.137202	0	1.0	0.0	88	949.137202	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_15-2]	955.404318	0	1.0	0.0	89	955.404318	unrelated	unrelated		UN	UN
[1-1_vs_16-1]	431.72254	0	1.0	0.0	37	431.72254	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_16-2]	442.809777	0	1.0	0.0	39	442.809777	unrelated	unrelated		UN	UN
[1-1_vs_17-1]	432.620968	0	1.0	0.0	44	432.620968	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_17-2]	441.984226	0	1.0	0.0	44	441.984226	unrelated	unrelated		UN	UN
[1-1_vs_18-1]	385.639567	0	1.0	0.0	37	385.639567	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_18-2]	395.652329	0	1.0	0.0	39	395.652329	unrelated	unrelated		UN	UN
[1-1_vs_19-1]	467.486011	0	1.0	0.0	43	467.486011	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_19-2]	497.823042	0	1.0	0.0	45	497.823042	unrelated	unrelated		UN	UN
[1-1_vs_2-1]	383.933619	0	1.0	0.0	33	383.933619	50.0	FS	C-1(FS)	2	2
[1-1_vs_2-2]	373.694712	0	1.0	0.0	32	373.694712	unrelated	unrelated		UN	UN
[1-1_vs_20-1]	641.809261	0	1.0	0.0	53	641.809261	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_20-2]	666.001932	0	1.0	0.0	52	666.001932	unrelated	unrelated		UN	UN
[1-1_vs_21-1]	513.18127	0	1.0	0.0	50	513.18127	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_21-2]	494.09178	0	1.0	0.0	50	494.09178	unrelated	unrelated		UN	UN
[1-1_vs_22-1]	553.868192	0	1.0	0.0	44	553.868192	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_22-2]	568.365302	0	1.0	0.0	45	568.365302	unrelated	unrelated		UN	UN
[1-1_vs_22-650-2-blood]	17.080065	0	1.0	0.0	1	17.080065	unrelated	unrelated		UN	UN
[1-1_vs_23-1]	575.792948	0	1.0	0.0	49	575.792948	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_23-2]	610.502011	0	1.0	0.0	52	610.502011	unrelated	unrelated		UN	UN
[1-1_vs_24-1]	456.665615	0	1.0	0.0	36	456.665615	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_24-2]	486.693093	0	1.0	0.0	37	486.693093	unrelated	unrelated		UN	UN
[1-1_vs_25-1]	623.776716	0	1.0	0.0	56	623.776716	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_25-2]	638.311719	0	1.0	0.0	58	638.311719	unrelated	unrelated		UN	UN
[1-1_vs_26-1]	303.993435	0	1.0	0.0	26	303.993435	12.5	GGP-GGC		4	4
[1-1_vs_27-1]	271.272239	0	1.0	0.0	23	271.272239	12.5	GGP-GGC		4	4
[1-1_vs_28-1]	332.842937	0	1.0	0.0	33	332.842937	12.5	GGP-GGC		4	4
[1-1_vs_29-1]	39.685742000000005	0	1.0	0.0	2	39.685742000000005	0.0	UL	UN	UN	UN
[1-1_vs_29-2]	46.520161	0	1.0	0.0	3	46.520161	unrelated	unrelated		UN	UN
[1-1_vs_3-1]	885.112177	0	1.0	0.0	82	885.112177	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_3-2]	779.449348	0	1.0	0.0	71	779.449348	unrelated	unrelated		UN	UN
[1-1_vs_30-1]	12.316304	0	1.0	0.0	2	12.316304	0.0	UL	UN	UN	UN
[1-1_vs_30-2]	37.773793	0	1.0	0.0	3	37.773793	unrelated	unrelated		UN	UN
[1-1_vs_31-1]	40.59849	0	1.0	0.0	5	40.59849	unrelated	unrelated	UN	UN	UN
[1-1_vs_31-2]	40.832651	0	1.0	0.0	5	40.832651	unrelated	unrelated		UN	UN
[1-1_vs_32-2]	23.611571	0	1.0	0.0	2	23.611571	unrelated	unrelated		UN	UN
[1-1_vs_33-1]	38.954737	0	1.0	0.0	4	38.954737	unrelated	unrelated	UN	UN	UN
[1-1_vs_33-2]	56.188165	0	1.0	0.0	4	56.188165	unrelated	unrelated		UN	UN
[1-1_vs_34-1]	13.406152	0	1.0	0.0	2	13.406152	unrelated	unrelated	UN	UN	UN
[1-1_vs_34-2]	45.46133	0	1.0	0.0	6	45.46133	unrelated	unrelated		UN	UN
[1-1_vs_35-2]	46.872742	0	1.0	0.0	4	46.872742	unrelated	unrelated		UN	UN
[1-1_vs_36-2]	20.485836	0	1.0	0.0	3	20.485836	unrelated	unrelated		UN	UN
[1-1_vs_37-1]	12.962258	0	1.0	0.0	2	12.962258	unrelated	unrelated	UN	UN	UN
[1-1_vs_37-2]	43.297186	0	1.0	0.0	5	43.297186	unrelated	unrelated		UN	UN
[1-1_vs_38-1]	45.118147	0	1.0	0.0	4	45.118147	unrelated	unrelated	UN	UN	UN
[1-1_vs_38-2]	61.455874	0	1.0	0.0	5	61.455874	unrelated	unrelated		UN	UN
[1-1_vs_39-2]	14.068614	0	1.0	0.0	2	14.068614	unrelated	unrelated		UN	UN
[1-1_vs_4-1]	778.563296	0	1.0	0.0	74	778.563296	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_4-2]	775.472202	0	1.0	0.0	75	775.472202	unrelated	unrelated		UN	UN
[1-1_vs_40-1]	23.199536	0	1.0	0.0	2	23.199536	unrelated	unrelated		UN	UN
[1-1_vs_41-1]	23.353165	0	1.0	0.0	2	23.353165	unrelated	unrelated	UN	UN	UN
[1-1_vs_41-2]	17.080065	0	1.0	0.0	1	17.080065	unrelated	unrelated		UN	UN
[1-1_vs_43-1]	40.336069	0	1.0	0.0	3	40.336069	unrelated	unrelated	UN	UN	UN
[1-1_vs_43-2]	40.336069	0	1.0	0.0	3	40.336069	unrelated	unrelated		UN	UN
[1-1_vs_44-1]	20.89716	0	1.0	0.0	3	20.89716	unrelated	unrelated	UN	UN	UN
[1-1_vs_44-2]	20.89716	0	1.0	0.0	3	20.89716	unrelated	unrelated		UN	UN
[1-1_vs_45-1]	41.529589	0	1.0	0.0	3	41.529589	unrelated	unrelated		UN	UN
[1-1_vs_46-1]	12.554066	0	1.0	0.0	2	12.554066	unrelated	unrelated	UN	UN	UN
[1-1_vs_46-2]	39.936068	0	1.0	0.0	4	39.936068	unrelated	unrelated		UN	UN
[1-1_vs_47-1]	18.929478	0	1.0	0.0	3	18.929478	unrelated	unrelated	UN	UN	UN
[1-1_vs_47-2]	18.929478	0	1.0	0.0	3	18.929478	unrelated	unrelated		UN	UN
[1-1_vs_48-1]	65.666524	0	1.0	0.0	5	65.666524	unrelated	unrelated	UN	UN	UN
[1-1_vs_48-2]	63.017805	0	1.0	0.0	5	63.017805	unrelated	unrelated		UN	UN
[1-1_vs_49-1]	14.558075	0	1.0	0.0	2	14.558075	unrelated	unrelated	UN	UN	UN
[1-1_vs_49-2]	6.087852	0	1.0	0.0	1	6.087852	unrelated	unrelated		UN	UN
[1-1_vs_5-1]	794.601015	0	1.0	0.0	77	794.601015	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_5-2]	776.477697	0	1.0	0.0	75	776.477697	unrelated	unrelated		UN	UN
[1-1_vs_6-1]	754.0975960000001	0	1.0	0.0	66	754.0975960000001	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_6-2]	786.124305	0	1.0	0.0	69	786.124305	unrelated	unrelated		UN	UN
[1-1_vs_7-1]	253.551543	0	1.0	0.0	17	253.551543	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_7-2]	260.975532	0	1.0	0.0	17	260.975532	unrelated	unrelated		UN	UN
[1-1_vs_8-1]	245.777784	0	1.0	0.0	20	245.777784	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_8-2]	247.731535	0	1.0	0.0	20	247.731535	unrelated	unrelated		UN	UN
[1-1_vs_9-1]	203.149923	0	1.0	0.0	17	203.149923	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_9-2]	193.598403	0	1.0	0.0	16	193.598403	unrelated	unrelated		UN	UN
[1-2_vs_10-1]	492.229375	0	1.0	0.0	41	492.229375	unrelated	unrelated		UN	UN
[1-2_vs_10-2]	488.107102	0	1.0	0.0	41	488.107102	unrelated	unrelated		UN	UN
[1-2_vs_11-2]	601.796327	0	1.0	0.0	54	601.796327	unrelated	unrelated		UN	UN
[1-2_vs_12-1]	119.62469	0	1.0	0.0	14	119.62469	unrelated	unrelated		UN	UN
[1-2_vs_12-2]	104.907764	0	1.0	0.0	12	104.907764	unrelated	unrelated		UN	UN
[1-2_vs_13-1]	125.847676	0	1.0	0.0	15	125.847676	unrelated	unrelated		UN	UN
[1-2_vs_13-2]	102.431439	0	1.0	0.0	12	102.431439	unrelated	unrelated		UN	UN
[1-2_vs_14-1]	187.797713	0	1.0	0.0	18	187.797713	unrelated	unrelated		UN	UN
[1-2_vs_14-2]	186.346512	0	1.0	0.0	18	186.346512	unrelated	unrelated		UN	UN
[1-2_vs_15-1]	1000.151538	0	1.0	0.0	95	1000.151538	unrelated	unrelated		UN	UN
[1-2_vs_15-2]	998.013115	0	1.0	0.0	96	998.013115	unrelated	unrelated		UN	UN
[1-2_vs_16-1]	405.517862	0	1.0	0.0	36	405.517862	unrelated	unrelated		UN	UN
[1-2_vs_16-2]	427.553224	0	1.0	0.0	39	427.553224	unrelated	unrelated		UN	UN
[1-2_vs_17-1]	444.647714	0	1.0	0.0	46	444.647714	unrelated	unrelated		UN	UN
[1-2_vs_17-2]	459.879067	0	1.0	0.0	47	459.879067	unrelated	unrelated		UN	UN
[1-2_vs_18-1]	394.230115	0	1.0	0.0	39	394.230115	unrelated	unrelated		UN	UN
[1-2_vs_18-2]	396.26316	0	1.0	0.0	40	396.26316	unrelated	unrelated		UN	UN
[1-2_vs_19-1]	482.731754	0	1.0	0.0	43	482.731754	unrelated	unrelated		UN	UN
[1-2_vs_19-2]	519.075407	0	1.0	0.0	46	519.075407	unrelated	unrelated		UN	UN
[1-2_vs_2-1]	386.074282	0	1.0	0.0	35	386.074282	unrelated	unrelated		UN	UN
[1-2_vs_2-2]	388.377131	0	1.0	0.0	35	388.377131	unrelated	unrelated		UN	UN
[1-2_vs_20-1]	627.542389	0	1.0	0.0	50	627.542389	unrelated	unrelated		UN	UN
[1-2_vs_20-2]	678.785124	0	1.0	0.0	51	678.785124	unrelated	unrelated		UN	UN
[1-2_vs_21-1]	507.137003	0	1.0	0.0	50	507.137003	unrelated	unrelated		UN	UN
[1-2_vs_21-2]	491.341784	0	1.0	0.0	49	491.341784	unrelated	unrelated		UN	UN
[1-2_vs_22-1]	563.190785	0	1.0	0.0	46	563.190785	unrelated	unrelated		UN	UN
[1-2_vs_22-2]	580.615501	0	1.0	0.0	47	580.615501	unrelated	unrelated		UN	UN
[1-2_vs_22-650-2-blood]	17.080065	0	1.0	0.0	1	17.080065	unrelated	unrelated		UN	UN
[1-2_vs_23-1]	568.149847	0	1.0	0.0	45	568.149847	unrelated	unrelated		UN	UN
[1-2_vs_23-2]	607.43671	0	1.0	0.0	51	607.43671	unrelated	unrelated		UN	UN
[1-2_vs_24-1]	465.252573	0	1.0	0.0	37	465.252573	unrelated	unrelated		UN	UN
[1-2_vs_24-2]	495.64477	0	1.0	0.0	38	495.64477	unrelated	unrelated		UN	UN
[1-2_vs_25-1]	614.734882	0	1.0	0.0	54	614.734882	unrelated	unrelated		UN	UN
[1-2_vs_25-2]	635.695778	0	1.0	0.0	56	635.695778	unrelated	unrelated		UN	UN
[1-2_vs_26-1]	289.673497	0	1.0	0.0	24	289.673497	unrelated	unrelated		UN	UN
[1-2_vs_27-1]	259.420124	0	1.0	0.0	24	259.420124	unrelated	unrelated		UN	UN
[1-2_vs_28-1]	358.949593	0	1.0	0.0	36	358.949593	unrelated	unrelated		UN	UN
[1-2_vs_29-1]	39.685742000000005	0	1.0	0.0	2	39.685742000000005	unrelated	unrelated		UN	UN
[1-2_vs_29-2]	46.520161	0	1.0	0.0	3	46.520161	unrelated	unrelated		UN	UN
[1-2_vs_3-1]	904.257358	0	1.0	0.0	83	904.257358	unrelated	unrelated		UN	UN
[1-2_vs_3-2]	808.943301	0	1.0	0.0	72	808.943301	unrelated	unrelated		UN	UN
[1-2_vs_30-1]	12.316304	0	1.0	0.0	2	12.316304	unrelated	unrelated		UN	UN
[1-2_vs_30-2]	37.773793	0	1.0	0.0	3	37.773793	unrelated	unrelated		UN	UN
[1-2_vs_31-1]	24.631802	0	1.0	0.0	4	24.631802	unrelated	unrelated		UN	UN
[1-2_vs_31-2]	40.832651	0	1.0	0.0	5	40.832651	unrelated	unrelated		UN	UN
[1-2_vs_32-2]	23.611571	0	1.0	0.0	2	23.611571	unrelated	unrelated		UN	UN
[1-2_vs_33-1]	38.954737	0	1.0	0.0	4	38.954737	unrelated	unrelated		UN	UN
[1-2_vs_33-2]	56.188165	0	1.0	0.0	4	56.188165	unrelated	unrelated		UN	UN
[1-2_vs_34-1]	13.406152	0	1.0	0.0	2	13.406152	unrelated	unrelated		UN	UN
[1-2_vs_34-2]	45.46133	0	1.0	0.0	6	45.46133	unrelated	unrelated		UN	UN
[1-2_vs_35-2]	49.422204	0	1.0	0.0	4	49.422204	unrelated	unrelated		UN	UN
[1-2_vs_36-2]	20.485836	0	1.0	0.0	3	20.485836	unrelated	unrelated		UN	UN
[1-2_vs_37-1]	12.962258	0	1.0	0.0	2	12.962258	unrelated	unrelated		UN	UN
[1-2_vs_37-2]	43.297186	0	1.0	0.0	5	43.297186	unrelated	unrelated		UN	UN
[1-2_vs_38-1]	45.118147	0	1.0	0.0	4	45.118147	unrelated	unrelated		UN	UN
[1-2_vs_38-2]	45.118147	0	1.0	0.0	4	45.118147	unrelated	unrelated		UN	UN
[1-2_vs_39-2]	14.068614	0	1.0	0.0	2	14.068614	unrelated	unrelated		UN	UN
[1-2_vs_4-1]	826.204836	0	1.0	0.0	79	826.204836	unrelated	unrelated		UN	UN
[1-2_vs_4-2]	823.407688	0	1.0	0.0	80	823.407688	unrelated	unrelated		UN	UN
[1-2_vs_40-1]	23.199536	0	1.0	0.0	2	23.199536	unrelated	unrelated		UN	UN
[1-2_vs_41-1]	23.353165	0	1.0	0.0	2	23.353165	unrelated	unrelated		UN	UN
[1-2_vs_41-2]	17.080065	0	1.0	0.0	1	17.080065	unrelated	unrelated		UN	UN
[1-2_vs_42-1]	6.553772	0	1.0	0.0	1	6.553772	unrelated	unrelated		UN	UN
[1-2_vs_42-2]	10.387108	0	1.0	0.0	1	10.387108	unrelated	unrelated		UN	UN
[1-2_vs_43-1]	40.336069	0	1.0	0.0	3	40.336069	unrelated	unrelated		UN	UN
[1-2_vs_43-2]	40.336069	0	1.0	0.0	3	40.336069	unrelated	unrelated		UN	UN
[1-2_vs_44-1]	20.89716	0	1.0	0.0	3	20.89716	unrelated	unrelated		UN	UN
[1-2_vs_44-2]	20.89716	0	1.0	0.0	3	20.89716	unrelated	unrelated		UN	UN
[1-2_vs_45-1]	41.529589	0	1.0	0.0	3	41.529589	unrelated	unrelated		UN	UN
[1-2_vs_46-1]	12.554066	0	1.0	0.0	2	12.554066	unrelated	unrelated		UN	UN
[1-2_vs_46-2]	39.936068	0	1.0	0.0	4	39.936068	unrelated	unrelated		UN	UN
[1-2_vs_47-1]	18.929478	0	1.0	0.0	3	18.929478	unrelated	unrelated		UN	UN
[1-2_vs_47-2]	18.929478	0	1.0	0.0	3	18.929478	unrelated	unrelated		UN	UN
[1-2_vs_48-1]	65.666524	0	1.0	0.0	5	65.666524	unrelated	unrelated		UN	UN
[1-2_vs_48-2]	63.017805	0	1.0	0.0	5	63.017805	unrelated	unrelated		UN	UN
[1-2_vs_49-1]	14.558075	0	1.0	0.0	2	14.558075	unrelated	unrelated		UN	UN
[1-2_vs_49-2]	6.087852	0	1.0	0.0	1	6.087852	unrelated	unrelated		UN	UN
[1-2_vs_5-1]	773.240199	0	1.0	0.0	75	773.240199	unrelated	unrelated		UN	UN
[1-2_vs_5-2]	788.856262	0	1.0	0.0	77	788.856262	unrelated	unrelated		UN	UN
[1-2_vs_6-1]	790.800784	0	1.0	0.0	68	790.800784	unrelated	unrelated		UN	UN
[1-2_vs_6-2]	808.413283	0	1.0	0.0	70	808.413283	unrelated	unrelated		UN	UN
[1-2_vs_7-1]	250.147345	0	1.0	0.0	17	250.147345	unrelated	unrelated		UN	UN
[1-2_vs_7-2]	258.527084	0	1.0	0.0	17	258.527084	unrelated	unrelated		UN	UN
[1-2_vs_8-1]	247.683103	0	1.0	0.0	21	247.683103	unrelated	unrelated		UN	UN
[1-2_vs_8-2]	243.263227	0	1.0	0.0	20	243.263227	unrelated	unrelated		UN	UN
[1-2_vs_9-1]	191.888654	0	1.0	0.0	16	191.888654	unrelated	unrelated		UN	UN
[1-2_vs_9-2]	189.59986	0	1.0	0.0	16	189.59986	unrelated	unrelated		UN	UN
[10-1_vs_10-2]	3127.459212	0	1.0	0.0	25	3127.459212	unrelated	unrelated		UN	UN
[10-1_vs_11-2]	1125.00659	0	1.0	0.0	66	1125.00659	unrelated	unrelated		UN	UN
[10-1_vs_12-1]	130.429684	0	1.0	0.0	11	130.429684	12.5	F-C	C-3a(FC)	4	4
[10-1_vs_12-2]	132.165356	0	1.0	0.0	11	132.165356	unrelated	unrelated		UN	UN
[10-1_vs_13-1]	126.658568	0	1.0	0.0	10	126.658568	12.5	F-C	C-3a(FC)	4	4
[10-1_vs_13-2]	126.841075	0	1.0	0.0	12	126.841075	unrelated	unrelated		UN	UN
[10-1_vs_14-1]	106.143904	0	1.0	0.0	12	106.143904	12.5	F-C	C-3a(FC)	4	4
[10-1_vs_14-2]	106.143904	0	1.0	0.0	12	106.143904	unrelated	unrelated		UN	UN
[10-1_vs_15-1]	314.215057	0	1.0	0.0	31	314.215057	12.5	F-C_HS	C-3a(FC)_HS	UN	4
[10-1_vs_15-2]	326.987837	0	1.0	0.0	32	326.987837	unrelated	unrelated		UN	UN
[10-1_vs_16-1]	140.50635	0	1.0	0.0	12	140.50635	6.25	FCOR	C-4a(FCOR)	4	4
[10-1_vs_16-2]	143.117785	0	1.0	0.0	12	143.117785	unrelated	unrelated		UN	UN
[10-1_vs_17-1]	109.485183	0	1.0	0.0	15	109.485183	6.25	FCOR_HS	C-4a(FCOR)_HS	UN	4
[10-1_vs_17-2]	96.648261	0	1.0	0.0	13	96.648261	unrelated	unrelated		UN	UN
[10-1_vs_18-1]	138.851127	0	1.0	0.0	15	138.851127	6.25	FCOR_HS	C-4a(FCOR)_HS	UN	4
[10-1_vs_18-2]	136.865119	0	1.0	0.0	14	136.865119	unrelated	unrelated		UN	UN
[10-1_vs_19-1]	102.701552	0	1.0	0.0	10	102.701552	6.25	FCOR	C-4a(FCOR)	4	4
[10-1_vs_19-2]	94.639853	0	1.0	0.0	9	94.639853	unrelated	unrelated		UN	UN
[10-1_vs_20-1]	139.022772	0	1.0	0.0	13	139.022772	6.25	FCOR	C-4a(FCOR)	4	4
[10-1_vs_20-2]	143.101423	0	1.0	0.0	13	143.101423	unrelated	unrelated		UN	UN
[10-1_vs_21-1]	292.106506	0	1.0	0.0	20	292.106506	6.25	FCOR	C-4a(FCOR)	4	4
[10-1_vs_21-2]	286.45882	0	1.0	0.0	20	286.45882	unrelated	unrelated		UN	UN
[10-1_vs_22-1]	132.282745	0	1.0	0.0	9	132.282745	6.25	FCOR	C-4a(FCOR)	4	4
[10-1_vs_22-2]	139.838472	0	1.0	0.0	10	139.838472	unrelated	unrelated		UN	UN
[10-1_vs_22-593-2-saliva]	7.693089	0	1.0	0.0	1	7.693089	unrelated	unrelated		UN	UN
[10-1_vs_22-650-1-blood]	33.209449	0	1.0	0.0	2	33.209449	unrelated	unrelated		UN	UN
[10-1_vs_22-650-2-blood]	34.83572	0	1.0	0.0	2	34.83572	unrelated	unrelated		UN	UN
[10-1_vs_23-1]	185.167055	0	1.0	0.0	15	185.167055	6.25	FCOR	C-4a(FCOR)	4	4
[10-1_vs_23-2]	173.321002	0	1.0	0.0	15	173.321002	unrelated	unrelated		UN	UN
[10-1_vs_24-1]	123.801616	0	1.0	0.0	10	123.801616	6.25	FCOR	C-4a(FCOR)	4	4
[10-1_vs_24-2]	139.84729	0	1.0	0.0	11	139.84729	unrelated	unrelated		UN	UN
[10-1_vs_25-1]	174.991591	0	1.0	0.0	19	174.991591	6.25	FCOR	C-4a(FCOR)	4	4
[10-1_vs_25-2]	163.859477	0	1.0	0.0	16	163.859477	unrelated	unrelated		UN	UN
[10-1_vs_26-1]	71.07671	0	1.0	0.0	6	71.07671	3.125	FCTR		4	4
[10-1_vs_27-1]	120.868154	0	1.0	0.0	10	120.868154	3.125	FCTR		4	4
[10-1_vs_28-1]	80.337939	0	1.0	0.0	8	80.337939	3.125	FCTR		4	4
[10-1_vs_29-1]	33.367658	0	1.0	0.0	2	33.367658	0.0	UL	UN	UN	UN
[10-1_vs_29-2]	41.25543	0	1.0	0.0	3	41.25543	unrelated	unrelated		UN	UN
[10-1_vs_31-1]	6.097942	0	1.0	0.0	1	6.097942	unrelated	unrelated	UN	UN	UN
[10-1_vs_31-2]	6.097942	0	1.0	0.0	1	6.097942	unrelated	unrelated		UN	UN
[10-1_vs_32-2]	13.212497	0	1.0	0.0	2	13.212497	unrelated	unrelated		UN	UN
[10-1_vs_33-1]	50.834415	0	1.0	0.0	4	50.834415	unrelated	unrelated	UN	UN	UN
[10-1_vs_33-2]	56.707641	0	1.0	0.0	5	56.707641	unrelated	unrelated		UN	UN
[10-1_vs_34-1]	7.603569	0	1.0	0.0	1	7.603569	unrelated	unrelated	UN	UN	UN
[10-1_vs_34-2]	13.701511	0	1.0	0.0	2	13.701511	unrelated	unrelated		UN	UN
[10-1_vs_35-2]	16.553707	0	1.0	0.0	2	16.553707	unrelated	unrelated		UN	UN
[10-1_vs_37-1]	25.930038	0	1.0	0.0	1	25.930038	unrelated	unrelated	UN	UN	UN
[10-1_vs_37-2]	55.65939	0	1.0	0.0	5	55.65939	unrelated	unrelated		UN	UN
[10-1_vs_38-1]	40.102091	0	1.0	0.0	3	40.102091	unrelated	unrelated	UN	UN	UN
[10-1_vs_38-2]	32.749363	0	1.0	0.0	2	32.749363	unrelated	unrelated		UN	UN
[10-1_vs_39-2]	7.114555	0	1.0	0.0	1	7.114555	unrelated	unrelated		UN	UN
[10-1_vs_40-1]	6.253536	0	1.0	0.0	1	6.253536	unrelated	unrelated		UN	UN
[10-1_vs_41-1]	32.727085	0	1.0	0.0	2	32.727085	unrelated	unrelated	UN	UN	UN
[10-1_vs_41-2]	32.727085	0	1.0	0.0	2	32.727085	unrelated	unrelated		UN	UN
[10-1_vs_42-1]	6.024075	0	1.0	0.0	1	6.024075	unrelated	unrelated	UN	UN	UN
[10-1_vs_42-2]	6.024075	0	1.0	0.0	1	6.024075	unrelated	unrelated		UN	UN
[10-1_vs_43-1]	59.050565	0	1.0	0.0	3	59.050565	unrelated	unrelated	UN	UN	UN
[10-1_vs_43-2]	59.050565	0	1.0	0.0	3	59.050565	unrelated	unrelated		UN	UN
[10-1_vs_44-1]	14.922642	0	1.0	0.0	2	14.922642	unrelated	unrelated	UN	UN	UN
[10-1_vs_44-2]	14.922642	0	1.0	0.0	2	14.922642	unrelated	unrelated		UN	UN
[10-1_vs_45-1]	42.371834	0	1.0	0.0	3	42.371834	unrelated	unrelated		UN	UN
[10-1_vs_46-1]	39.811386	0	1.0	0.0	3	39.811386	unrelated	unrelated	UN	UN	UN
[10-1_vs_46-2]	41.937139	0	1.0	0.0	5	41.937139	unrelated	unrelated		UN	UN
[10-1_vs_47-1]	36.006632	0	1.0	0.0	3	36.006632	unrelated	unrelated	UN	UN	UN
[10-1_vs_47-2]	18.237106	0	1.0	0.0	2	18.237106	unrelated	unrelated		UN	UN
[10-1_vs_48-1]	45.277508	0	1.0	0.0	3	45.277508	unrelated	unrelated	UN	UN	UN
[10-1_vs_48-2]	45.277508	0	1.0	0.0	3	45.277508	unrelated	unrelated		UN	UN
[10-1_vs_49-1]	13.983035999999998	0	1.0	0.0	2	13.983035999999998	unrelated	unrelated	UN	UN	UN
[10-1_vs_49-2]	13.135319	0	1.0	0.0	2	13.135319	unrelated	unrelated		UN	UN
[10-2_vs_11-2]	1136.009837	0	1.0	0.0	68	1136.009837	unrelated	unrelated		UN	UN
[10-2_vs_12-1]	126.587015	0	1.0	0.0	12	126.587015	unrelated	unrelated		UN	UN
[10-2_vs_12-2]	127.149957	0	1.0	0.0	12	127.149957	unrelated	unrelated		UN	UN
[10-2_vs_13-1]	126.974473	0	1.0	0.0	9	126.974473	unrelated	unrelated		UN	UN
[10-2_vs_13-2]	126.855985	0	1.0	0.0	11	126.855985	unrelated	unrelated		UN	UN
[10-2_vs_14-1]	112.358822	0	1.0	0.0	13	112.358822	unrelated	unrelated		UN	UN
[10-2_vs_14-2]	112.498627	0	1.0	0.0	13	112.498627	unrelated	unrelated		UN	UN
[10-2_vs_15-1]	287.172697	0	1.0	0.0	27	287.172697	unrelated	unrelated		UN	UN
[10-2_vs_15-2]	293.010793	0	1.0	0.0	27	293.010793	unrelated	unrelated		UN	UN
[10-2_vs_16-1]	156.316494	0	1.0	0.0	14	156.316494	unrelated	unrelated		UN	UN
[10-2_vs_16-2]	165.353819	0	1.0	0.0	15	165.353819	unrelated	unrelated		UN	UN
[10-2_vs_17-1]	105.99562	0	1.0	0.0	14	105.99562	unrelated	unrelated		UN	UN
[10-2_vs_17-2]	93.158698	0	1.0	0.0	12	93.158698	unrelated	unrelated		UN	UN
[10-2_vs_18-1]	132.564483	0	1.0	0.0	14	132.564483	unrelated	unrelated		UN	UN
[10-2_vs_18-2]	130.578475	0	1.0	0.0	13	130.578475	unrelated	unrelated		UN	UN
[10-2_vs_19-1]	113.259689	0	1.0	0.0	10	113.259689	unrelated	unrelated		UN	UN
[10-2_vs_19-2]	108.057273	0	1.0	0.0	10	108.057273	unrelated	unrelated		UN	UN
[10-2_vs_20-1]	159.966848	0	1.0	0.0	16	159.966848	unrelated	unrelated		UN	UN
[10-2_vs_20-2]	164.045499	0	1.0	0.0	16	164.045499	unrelated	unrelated		UN	UN
[10-2_vs_21-1]	297.047462	0	1.0	0.0	20	297.047462	unrelated	unrelated		UN	UN
[10-2_vs_21-2]	293.678536	0	1.0	0.0	21	293.678536	unrelated	unrelated		UN	UN
[10-2_vs_22-1]	133.914212	0	1.0	0.0	9	133.914212	unrelated	unrelated		UN	UN
[10-2_vs_22-2]	138.898985	0	1.0	0.0	10	138.898985	unrelated	unrelated		UN	UN
