pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[16-1_vs_25-1]	216.380814	0	1.0	0.0	16	216.380814	12.5	F-C	C-3a(FC)	4	4
[16-1_vs_25-2]	201.023532	0	1.0	0.0	14	201.023532	unrelated	unrelated		UN	UN
[16-1_vs_26-1]	115.999484	0	1.0	0.0	11	115.999484	6.25	FCOR		4	4
[16-1_vs_27-1]	80.223794	0	1.0	0.0	9	80.223794	6.25	FCOR		4	4
[16-1_vs_28-1]	97.969234	0	1.0	0.0	12	97.969234	6.25	FCOR		4	4
[16-1_vs_29-1]	7.263517	0	1.0	0.0	1	7.263517	0.0	UL	UN	UN	UN
[16-1_vs_29-2]	15.520277	0	1.0	0.0	2	15.520277	unrelated	unrelated		UN	UN
[16-1_vs_30-1]	42.008781	0	1.0	0.0	3	42.008781	0.0	UL	UN	UN	UN
[16-1_vs_30-2]	35.392173	0	1.0	0.0	2	35.392173	unrelated	unrelated		UN	UN
[16-1_vs_31-1]	15.342361	0	1.0	0.0	2	15.342361	unrelated	unrelated	UN	UN	UN
[16-1_vs_31-2]	15.342361	0	1.0	0.0	2	15.342361	unrelated	unrelated		UN	UN
[16-1_vs_32-2]	25.213589	0	1.0	0.0	2	25.213589	unrelated	unrelated		UN	UN
[16-1_vs_33-1]	10.864918	0	1.0	0.0	1	10.864918	unrelated	unrelated	UN	UN	UN
[16-1_vs_33-2]	38.418369	0	1.0	0.0	2	38.418369	unrelated	unrelated		UN	UN
[16-1_vs_34-2]	20.909828	0	1.0	0.0	3	20.909828	unrelated	unrelated		UN	UN
[16-1_vs_35-2]	27.146984000000003	0	1.0	0.0	2	27.146984000000003	unrelated	unrelated		UN	UN
[16-1_vs_36-2]	27.927101	0	1.0	0.0	3	27.927101	unrelated	unrelated		UN	UN
[16-1_vs_37-1]	9.400795	0	1.0	0.0	1	9.400795	unrelated	unrelated	UN	UN	UN
[16-1_vs_37-2]	56.142349	0	1.0	0.0	3	56.142349	unrelated	unrelated		UN	UN
[16-1_vs_38-1]	43.941369	0	1.0	0.0	3	43.941369	unrelated	unrelated	UN	UN	UN
[16-1_vs_38-2]	43.578679	0	1.0	0.0	3	43.578679	unrelated	unrelated		UN	UN
[16-1_vs_39-2]	8.25676	0	1.0	0.0	1	8.25676	unrelated	unrelated		UN	UN
[16-1_vs_40-1]	30.883792	0	1.0	0.0	2	30.883792	unrelated	unrelated		UN	UN
[16-1_vs_41-1]	18.106133	0	1.0	0.0	2	18.106133	unrelated	unrelated	UN	UN	UN
[16-1_vs_41-2]	18.106133	0	1.0	0.0	2	18.106133	unrelated	unrelated		UN	UN
[16-1_vs_43-1]	48.451036	0	1.0	0.0	4	48.451036	unrelated	unrelated	UN	UN	UN
[16-1_vs_43-2]	48.451036	0	1.0	0.0	4	48.451036	unrelated	unrelated		UN	UN
[16-1_vs_44-1]	17.763502000000003	0	1.0	0.0	2	17.763502000000003	unrelated	unrelated	UN	UN	UN
[16-1_vs_44-2]	17.763502000000003	0	1.0	0.0	2	17.763502000000003	unrelated	unrelated		UN	UN
[16-1_vs_45-1]	41.985372	0	1.0	0.0	3	41.985372	unrelated	unrelated		UN	UN
[16-1_vs_46-1]	42.837849	0	1.0	0.0	3	42.837849	unrelated	unrelated	UN	UN	UN
[16-1_vs_46-2]	58.49221	0	1.0	0.0	5	58.49221	unrelated	unrelated		UN	UN
[16-1_vs_47-1]	58.475987	0	1.0	0.0	5	58.475987	unrelated	unrelated	UN	UN	UN
[16-1_vs_47-2]	58.475987	0	1.0	0.0	5	58.475987	unrelated	unrelated		UN	UN
