pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[6-1_vs_20-1]	757.406791	0	1.0	0.0	206	757.406791	unrelated	unrelated	C-2(U-N)	3	3
[6-1_vs_20-2]	769.243157	0	1.0	0.0	202	769.243157	unrelated	unrelated		UN	UN
[6-1_vs_21-1]	896.538754	0	1.0	0.0	183	896.538754	unrelated	unrelated	C-2(U-N)	3	3
[6-1_vs_21-2]	883.364336	0	1.0	0.0	184	883.364336	unrelated	unrelated		UN	UN
[6-1_vs_22-1]	899.3994720000001	0	1.0	0.0	212	899.3994720000001	unrelated	unrelated	C-2(U-N)	3	3
[6-1_vs_22-2]	892.724704	0	1.0	0.0	216	892.724704	unrelated	unrelated		UN	UN
[6-1_vs_22-593-1-saliva]	1.341181	0	1.0	0.0	1	1.341181	unrelated	unrelated		UN	UN
[6-1_vs_22-593-2-saliva]	7.378662	0	1.0	0.0	4	7.378662	unrelated	unrelated		UN	UN
[6-1_vs_22-650-1-blood]	79.941314	0	1.0	0.0	27	79.941314	unrelated	unrelated		UN	UN
[6-1_vs_22-650-2-blood]	57.373207	0	1.0	0.0	16	57.373207	unrelated	unrelated		UN	UN
[6-1_vs_23-1]	1770.312712	0	1.0	0.0	443	1770.312712	unrelated	unrelated	L-1(P-C)	1	1
[6-1_vs_23-2]	1798.81045	0	1.0	0.0	438	1798.81045	unrelated	unrelated		UN	UN
[6-1_vs_24-1]	1755.715277	0	1.0	0.0	410	1755.715277	unrelated	unrelated	L-1(P-C)	1	1
[6-1_vs_24-2]	1738.443879	0	1.0	0.0	408	1738.443879	unrelated	unrelated		UN	UN
[6-1_vs_25-1]	1693.789351	0	1.0	0.0	398	1693.789351	unrelated	unrelated	L-1(P-C)	1	1
[6-1_vs_25-2]	1714.882164	0	1.0	0.0	401	1714.882164	unrelated	unrelated		UN	UN
[6-1_vs_26-1]	483.602548	0	1.0	0.0	121	483.602548	unrelated	unrelated		4	4
[6-1_vs_27-1]	414.243649	0	1.0	0.0	112	414.243649	unrelated	unrelated		4	4
[6-1_vs_28-1]	574.253689	0	1.0	0.0	154	574.253689	unrelated	unrelated		4	4
[6-1_vs_29-1]	54.46825	0	1.0	0.0	26	54.46825	unrelated	unrelated	UN	UN	UN
[6-1_vs_29-2]	60.902247	0	1.0	0.0	27	60.902247	unrelated	unrelated		UN	UN
[6-1_vs_30-1]	52.123946	0	1.0	0.0	24	52.123946	unrelated	unrelated	UN	UN	UN
[6-1_vs_30-2]	53.942136	0	1.0	0.0	25	53.942136	unrelated	unrelated		UN	UN
[6-1_vs_31-1]	61.524134	0	1.0	0.0	21	61.524134	unrelated	unrelated	UN	UN	UN
[6-1_vs_31-2]	71.30918199999999	0	1.0	0.0	24	71.30918199999999	unrelated	unrelated		UN	UN
[6-1_vs_32-2]	64.39792700000001	0	1.0	0.0	20	64.39792700000001	unrelated	unrelated		UN	UN
[6-1_vs_33-1]	74.227199	0	1.0	0.0	20	74.227199	unrelated	unrelated	UN	UN	UN
