pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[1-1_vs_1-2]	3101.350852	0	1.0	0.0	24	3101.350852	unrelated	unrelated		UN	UN
[1-1_vs_10-1]	773.102639	0	1.0	0.0	107	773.102639	unrelated	unrelated	C-2(U-N)	3	3
[1-1_vs_10-2]	778.006276	0	1.0	0.0	111	778.006276	unrelated	unrelated		UN	UN
[1-1_vs_11-2]	831.527525	0	1.0	0.0	110	831.527525	unrelated	unrelated		UN	UN
[1-1_vs_12-1]	253.499402	0	1.0	0.0	47	253.499402	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_12-2]	250.327918	0	1.0	0.0	47	250.327918	unrelated	unrelated		UN	UN
[1-1_vs_13-1]	275.857332	0	1.0	0.0	47	275.857332	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_13-2]	245.782406	0	1.0	0.0	43	245.782406	unrelated	unrelated		UN	UN
[1-1_vs_14-1]	330.85749	0	1.0	0.0	51	330.85749	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_14-2]	345.201843	0	1.0	0.0	57	345.201843	unrelated	unrelated		UN	UN
[1-1_vs_15-1]	1494.511193	0	1.0	0.0	218	1494.511193	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_15-2]	1519.997046	0	1.0	0.0	223	1519.997046	unrelated	unrelated		UN	UN
[1-1_vs_16-1]	700.255151	0	1.0	0.0	103	700.255151	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_16-2]	735.850143	0	1.0	0.0	108	735.850143	unrelated	unrelated		UN	UN
[1-1_vs_17-1]	739.026957	0	1.0	0.0	117	739.026957	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_17-2]	739.639648	0	1.0	0.0	116	739.639648	unrelated	unrelated		UN	UN
[1-1_vs_18-1]	754.630123	0	1.0	0.0	127	754.630123	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_18-2]	779.761013	0	1.0	0.0	132	779.761013	unrelated	unrelated		UN	UN
[1-1_vs_19-1]	737.193442	0	1.0	0.0	107	737.193442	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_19-2]	733.536898	0	1.0	0.0	103	733.536898	unrelated	unrelated		UN	UN
[1-1_vs_2-1]	657.601567	0	1.0	0.0	98	657.601567	50.0	FS	C-1(FS)	2	2
[1-1_vs_2-2]	678.167967	0	1.0	0.0	105	678.167967	unrelated	unrelated		UN	UN
[1-1_vs_20-1]	937.370771	0	1.0	0.0	123	937.370771	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_20-2]	957.362481	0	1.0	0.0	120	957.362481	unrelated	unrelated		UN	UN
[1-1_vs_21-1]	791.6989570000001	0	1.0	0.0	118	791.6989570000001	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_21-2]	825.843609	0	1.0	0.0	131	825.843609	unrelated	unrelated		UN	UN
[1-1_vs_22-1]	865.080003	0	1.0	0.0	118	865.080003	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_22-2]	866.796306	0	1.0	0.0	117	866.796306	unrelated	unrelated		UN	UN
[1-1_vs_22-650-1-blood]	14.247364	0	1.0	0.0	4	14.247364	unrelated	unrelated		UN	UN
[1-1_vs_22-650-2-blood]	24.447997	0	1.0	0.0	3	24.447997	unrelated	unrelated		UN	UN
[1-1_vs_23-1]	829.108167	0	1.0	0.0	109	829.108167	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_23-2]	871.756163	0	1.0	0.0	116	871.756163	unrelated	unrelated		UN	UN
[1-1_vs_24-1]	688.519684	0	1.0	0.0	91	688.519684	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_24-2]	719.778793	0	1.0	0.0	92	719.778793	unrelated	unrelated		UN	UN
[1-1_vs_25-1]	962.264415	0	1.0	0.0	138	962.264415	25.0	GP-GC	L-2(GP-GC)	2	2
